difficulty,frontendQuestionId,title,category,acceptance_rate,topics
Easy,1,Two Sum,Algorithms,55.57669029,"['Array', 'Hash Table']"
Medium,2,Add Two Numbers,Algorithms,45.97311918,"['Linked List', 'Math', 'Recursion']"
Medium,3,Longest Substring Without Repeating Characters,Algorithms,36.73624411,"['Hash Table', 'String', 'Sliding Window']"
Hard,4,Median of Two Sorted Arrays,Algorithms,43.52290179,"['Array', 'Binary Search', 'Divide and Conquer']"
Medium,5,Longest Palindromic Substring,Algorithms,35.66839764,"['Two Pointers', 'String', 'Dynamic Programming']"
Medium,6,Zigzag Conversion,Algorithms,51.35722144,['String']
Medium,7,Reverse Integer,Algorithms,30.16157662,['Math']
Medium,8,String to Integer (atoi),Algorithms,19.04709548,['String']
Easy,9,Palindrome Number,Algorithms,59.06786657,['Math']
Hard,10,Regular Expression Matching,Algorithms,29.19329333,"['String', 'Dynamic Programming', 'Recursion']"
Medium,11,Container With Most Water,Algorithms,57.59990758,"['Array', 'Two Pointers', 'Greedy']"
Medium,12,Integer to Roman,Algorithms,68.36468066,"['Hash Table', 'Math', 'String']"
Easy,13,Roman to Integer,Algorithms,64.65175361,"['Hash Table', 'Math', 'String']"
Easy,14,Longest Common Prefix,Algorithms,45.29039528,"['String', 'Trie']"
Medium,15,3Sum,Algorithms,36.86367258,"['Array', 'Two Pointers', 'Sorting']"
Medium,16,3Sum Closest,Algorithms,46.81082265,"['Array', 'Two Pointers', 'Sorting']"
Medium,17,Letter Combinations of a Phone Number,Algorithms,63.62485818,"['Hash Table', 'String', 'Backtracking']"
Medium,18,4Sum,Algorithms,38.00106368,"['Array', 'Two Pointers', 'Sorting']"
Medium,19,Remove Nth Node From End of List,Algorithms,48.6671321,"['Linked List', 'Two Pointers']"
Easy,20,Valid Parentheses,Algorithms,42.17887507,"['String', 'Stack']"
Easy,21,Merge Two Sorted Lists,Algorithms,66.67446899,"['Linked List', 'Recursion']"
Medium,22,Generate Parentheses,Algorithms,76.93766655,"['String', 'Dynamic Programming', 'Backtracking']"
Hard,23,Merge k Sorted Lists,Algorithms,56.47701821,"['Linked List', 'Divide and Conquer', 'Heap (Priority Queue)', 'Merge Sort']"
Medium,24,Swap Nodes in Pairs,Algorithms,66.97877312,"['Linked List', 'Recursion']"
Hard,25,Reverse Nodes in k-Group,Algorithms,62.71432275,"['Linked List', 'Recursion']"
Easy,26,Remove Duplicates from Sorted Array,Algorithms,60.08456769,"['Array', 'Two Pointers']"
Easy,27,Remove Element,Algorithms,59.86020878,"['Array', 'Two Pointers']"
Easy,28,Find the Index of the First Occurrence in a String,Algorithms,44.8130514,"['Two Pointers', 'String', 'String Matching']"
Medium,29,Divide Two Integers,Algorithms,18.31899318,"['Math', 'Bit Manipulation']"
Hard,30,Substring with Concatenation of All Words,Algorithms,32.94825753,"['Hash Table', 'String', 'Sliding Window']"
Medium,31,Next Permutation,Algorithms,42.81940122,"['Array', 'Two Pointers']"
Hard,32,Longest Valid Parentheses,Algorithms,36.12647916,"['String', 'Dynamic Programming', 'Stack']"
Medium,33,Search in Rotated Sorted Array,Algorithms,42.6673204,"['Array', 'Binary Search']"
Medium,34,Find First and Last Position of Element in Sorted Array,Algorithms,46.5927721,"['Array', 'Binary Search']"
Easy,35,Search Insert Position,Algorithms,48.78678339,"['Array', 'Binary Search']"
Medium,36,Valid Sudoku,Algorithms,62.0859509,"['Array', 'Hash Table', 'Matrix']"
Hard,37,Sudoku Solver,Algorithms,63.76410818,"['Array', 'Hash Table', 'Backtracking', 'Matrix']"
Medium,38,Count and Say,Algorithms,60.26618084,['String']
Medium,39,Combination Sum,Algorithms,74.42300237,"['Array', 'Backtracking']"
Medium,40,Combination Sum II,Algorithms,57.50024604,"['Array', 'Backtracking']"
Hard,41,First Missing Positive,Algorithms,40.9490707,"['Array', 'Hash Table']"
Hard,42,Trapping Rain Water,Algorithms,64.83931521,"['Array', 'Two Pointers', 'Dynamic Programming', 'Stack', 'Monotonic Stack']"
Medium,43,Multiply Strings,Algorithms,42.16570974,"['Math', 'String', 'Simulation']"
Hard,44,Wildcard Matching,Algorithms,29.70288475,"['String', 'Dynamic Programming', 'Greedy', 'Recursion']"
